"dimension","Birth","Death"
0,0,1
0,0,0.155502411556863
0,0,0.124555208642593
0,0,0.117686022959398
0,0,0.117068356100186
0,0,0.101843016451792
0,0,0.0948683298050515
0,0,0.0936215787091844
0,0,0.0916787870774913
0,0,0.09
0,0,0.0848645980371085
0,0,0.08405950273467
0,0,0.0833546639366988
0,0,0.0831504660239496
0,0,0.0827647267862343
0,0,0.0819328993750374
0,0,0.08
0,0,0.0785175139698144
0,0,0.0784091831356507
0,0,0.0781600921186765
0,0,0.0780256368125247
0,0,0.0769025357189215
0,0,0.0743236167042481
0,0,0.0716100551598726
0,0,0.0698355210476732
0,0,0.068883960397178
0,0,0.0682422156732912
0,0,0.0681835757349231
0,0,0.0679411510058521
0,0,0.0677790528113221
0,0,0.0651152823843988
0,0,0.0639061812346818
0,0,0.0637887137352682
0,0,0.0635688603012513
0,0,0.0633245607959502
0,0,0.0621771662268392
0,0,0.061400325732035
0,0,0.0606712452484701
0,0,0.0602992537267253
0,0,0.0602079728939615
0,0,0.0600832755431992
0,0,0.0599082632030006
0,0,0.059
0,0,0.0582494635168428
0,0,0.0573061951275776
0,0,0.0570087712549569
0,0,0.056
0,0,0.0555427763079952
0,0,0.0550090901579003
0,0,0.055
0,0,0.0541479454827235
0,0,0.0530377224247045
0,0,0.0518555686498567
0,0,0.0516236379965612
0,0,0.0516236379965612
0,0,0.051
0,0,0.0508035431835222
0,0,0.0505964425626941
0,0,0.0502095608425327
0,0,0.0500899191454728
0,0,0.0493963561409139
0,0,0.0491629942131275
0,0,0.0482700735445887
0,0,0.0472016948848238
0,0,0.047
0,0,0.0465295604965274
0,0,0.0460977222864645
0,0,0.0458039299623951
0,0,0.0453431361950186
0,0,0.0449444101084885
0,0,0.0449221548904324
0,0,0.0449110231457713
0,0,0.0442040722106007
0,0,0.0423792402008342
0,0,0.0419761837236307
0,0,0.0389486841883009
0,0,0.0379999999999999
0,0,0.0377359245282264
0,0,0.0373630833845388
0,0,0.0361247837363769
0,0,0.0360555127546399
0,0,0.036
0,0,0.036
0,0,0.0358468966578699
0,0,0.0355105618091293
0,0,0.034928498393146
0,0,0.0347131099154196
0,0,0.0346698716467195
0,0,0.033
0,0,0.0308706980808663
0,0,0.0304630924234556
0,0,0.03
0,0,0.03
0,0,0.029732137494637
0,0,0.0290172362570938
0,0,0.0284604989415154
0,0,0.0284253408071037
0,0,0.0282311884269862
0,0,0.028
0,0,0.0269258240356725
0,0,0.026
0,0,0.026
0,0,0.0257099202643649
0,0,0.025
0,0,0.0244131112314674
0,0,0.0244131112314674
0,0,0.024
0,0,0.024
0,0,0.024
0,0,0.024
0,0,0.0239999999999999
0,0,0.0238537208837531
0,0,0.0233452350598575
0,0,0.0230217288664427
0,0,0.023
0,0,0.023
0,0,0.0219999999999999
0,0,0.021
0,0,0.0208086520466848
0,0,0.0206155281280883
0,0,0.02
0,0,0.02
0,0,0.02
0,0,0.0194164878389476
0,0,0.0192353840616714
0,0,0.018
0,0,0.018
0,0,0.018
0,0,0.018
0,0,0.017
0,0,0.017
0,0,0.017
0,0,0.016
0,0,0.016
0,0,0.0159999999999999
0,0,0.0152643375224738
0,0,0.0152643375224737
0,0,0.015
0,0,0.015
0,0,0.015
0,0,0.015
0,0,0.014560219778561
0,0,0.0143178210632763
0,0,0.014
0,0,0.014
0,0,0.014
0,0,0.014
0,0,0.014
0,0,0.014
0,0,0.014
0,0,0.0131529464379659
0,0,0.013
0,0,0.013
0,0,0.013
0,0,0.013
0,0,0.013
0,0,0.013
0,0,0.0128062484748657
0,0,0.012
0,0,0.012
0,0,0.012
0,0,0.012
0,0,0.012
0,0,0.012
0,0,0.011
0,0,0.011
0,0,0.011
0,0,0.010770329614269
0,0,0.01
0,0,0.01
0,0,0.00999999999999998
0,0,0.00900000000000001
0,0,0.00900000000000001
0,0,0.00900000000000001
0,0,0.00900000000000001
0,0,0.00900000000000001
0,0,0.00894427190999917
0,0,0.00800000000000001
0,0,0.00800000000000001
0,0,0.00800000000000001
0,0,0.00800000000000001
0,0,0.0079999999999999
0,0,0.00700000000000001
0,0,0.00700000000000001
0,0,0.00700000000000001
0,0,0.00700000000000001
0,0,0.00700000000000001
0,0,0.00700000000000001
0,0,0.00700000000000001
0,0,0.00700000000000001
0,0,0.00600000000000001
0,0,0.00600000000000001
0,0,0.00600000000000001
0,0,0.00600000000000001
0,0,0.00600000000000001
0,0,0.00600000000000001
0,0,0.00600000000000001
0,0,0.00599999999999995
0,0,0.00599999999999995
0,0,0.005
0,0,0.005
0,0,0.005
0,0,0.005
0,0,0.00499999999999989
0,0,0.004
0,0,0.004
0,0,0.004
0,0,0.004
0,0,0.004
0,0,0.004
0,0,0.004
0,0,0.003
0,0,0.003
0,0,0.003
0,0,0.003
0,0,0.003
0,0,0.003
0,0,0.003
0,0,0.003
0,0,0.003
0,0,0.003
0,0,0.00282842712474619
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.000999999999999945
1,0.107056060080689,0.227019822923021
1,0.0965660395791399,0.196224361382577
1,0.0848999411071645,0.178630904381073
1,0.119037809119624,0.197994949430535
1,0.0848999411071645,0.13693794214899
1,0.19231484602079,0.242695282195596
1,0.174183810958424,0.224289990860047
1,0.100079968025574,0.136970799807842
1,0.108632407687577,0.143450339839263
1,0.126019839707881,0.147868184542856
1,0.0924391691870931,0.113145923479373
1,0.114934764105557,0.133360413916574
1,0.0940053189984481,0.110435501538228
1,0.0662419806467168,0.0792022726946645
1,0.084,0.0963327566303383
1,0.0742428447730824,0.0816333265278342
1,0.0560892146495207,0.0610327780786686
1,0.1034456378974,0.107074740251845
1,0.18904232330354,0.189952625672824
1,0.150266430050095,0.151029798384292
